id,title,pin,about,description,category,link,x,y,image
M91_L4,LOTE: MZ 91 LT 4 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 4 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7225,0.4819,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L5,LOTE: MZ 91 LT 5 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 5 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7209,0.5006,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L6,LOTE: MZ 91 LT 6 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 6 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7186,0.5186,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L7,LOTE: MZ 91 LT 7 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 7 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.6986,0.5179,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L8,LOTE: MZ 91 LT 8 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 8 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7001,0.5006,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L9,LOTE: MZ 91 LT 9 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 9 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7021,0.483,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L10,LOTE: MZ 91 LT 10 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 10 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7052,0.4636,https://lagunaskuche.com/assets/images/lagunas.jpg
M92_L1,LOTE: MZ 92 LT 1 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 92 LT 1 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6632,0.4484,https://lagunaskuche.com/assets/images/lagunas.jpg
M92_L2,LOTE: MZ 92 LT 2 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 92 LT 2 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6605,0.4636,https://lagunaskuche.com/assets/images/lagunas.jpg
M92_L3,LOTE: MZ 92 LT 3 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 92 LT 3 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6573,0.4819,https://lagunaskuche.com/assets/images/lagunas.jpg
M92_L4,LOTE: MZ 92 LT 4 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 92 LT 4 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6558,0.501,https://lagunaskuche.com/assets/images/lagunas.jpg
M92_L5,LOTE: MZ 92 LT 5 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 92 LT 5 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6542,0.5182,https://lagunaskuche.com/assets/images/lagunas.jpg
M93_L1,LOTE: MZ 93 LT 1 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 93 LT 1 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6043,0.4442,https://lagunaskuche.com/assets/images/lagunas.jpg
M93_L2,LOTE: MZ 93 LT 2 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 93 LT 2 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6031,0.4622,https://lagunaskuche.com/assets/images/lagunas.jpg
M93_L3,LOTE: MZ 93 LT 3 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 93 LT 3 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.6004,0.4795,https://lagunaskuche.com/assets/images/lagunas.jpg
M93_L4,LOTE: MZ 93 LT 4 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 93 LT 4 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.5984,0.4978,https://lagunaskuche.com/assets/images/lagunas.jpg
M93_L5,LOTE: MZ 93 LT 5 |  SUPERFICIE: 801m2,hidden,LOTE: MZ 93 LT 5 |  SUPERFICIE: 801m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> comercial  </b><br>Superficie: <b>801 m2</b><br>Precio: $  <b>792990 MXN</b></p>",comercial,https://landrada.mx/cotizador,0.5969,0.5165,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L1,LOTE: MZ 94 LT 1 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 1 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5293,0.441,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L2,LOTE: MZ 94 LT 2 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 2 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5537,0.441,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L3,LOTE: MZ 94 LT 3 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 3 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5516,0.4598,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L4,LOTE: MZ 94 LT 4 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 4 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5496,0.478,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L5,LOTE: MZ 94 LT 5 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 5 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5482,0.4956,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L6,LOTE: MZ 94 LT 6 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 6 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5466,0.5131,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L7,LOTE: MZ 94 LT 7 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 7 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5219,0.5122,https://lagunaskuche.com/assets/images/lagunas.jpg
M94_L8,LOTE: MZ 94 LT 8 |  SUPERFICIE: 506m2,hidden,LOTE: MZ 94 LT 8 |  SUPERFICIE: 506m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>506 m2</b><br>Precio: $  <b>500940 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.5239,0.4937,https://lagunaskuche.com/assets/images/lagunas.jpg
